"Аналитический  баланс  ОАО  ""УМПС""",,,,,,,
Актив / Пассив,"Кодстроки",2000 год,"9 месяцев2001 года",Изменения,,,
"",,,,"Абсолютн.величины","Удельныевеса","Темпприроста","Структураизменений"
1. Внеоборотные  активы,,,,"0,00%100,00%",,,
"Нематериальные  активы (04, 05), в томчисле:",110,"1 387,0","1 170,0","-217,0","-3,38%","-15,65%","-0,60%"
"Патенты, лицензии,  товарные  знаки (знакиобслуживания),  иные аналогичныеперечисленным  права  и  активы",111,"1 387,0","1 170,0","-217,0","-3,38%","-15,65%","-0,60%"
Организационные  расходы,112,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
Деловая репутация организации,113,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
"Основные  средства (01, 02, 03), в  том  числе:",120,"22 040,0","27 449,0","5 409,0","-39,52%","24,54%","15,08%"
"Земельные  участки  и  объектыприродопользования",121,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
"Здания,  сооружения,  машины  и  оборудование",122,"22 040,0","27 449,0","5 409,0","-39,52%","24,54%","15,08%"
"Незавершенное  строительство (07, 08, 16, 61)",130,"0,0","65,0","65,0","0,10%","0,00%","0,18%"
"Доходные  вложения  в  материальныеценности (03),  в  том  числе:",135,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
Имущество  для  передачи  в  лизинг,136,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
"Имущество,  предоставляемое  по  договорупроката",137,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
"Долгосрочные  финансовые  вложения (06, 82),в  том  числе:",140,"2 926,0","33 544,0","30 618,0","42,80%","1046,41%","85,35%"
Инвестиции  в  дочерние  общества,141,"273,0","287,0","14,0","-0,57%","5,13%","0,04%"
Инвестиции  в  зависимые  общества,142,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
Инвестиции  в  другие  организации,143,"2 653,0","2 508,0","-145,0","-6,04%","-5,47%","-0,40%"
"Займы  предоставленные  организациям  на  срокболее  12  мес.",144,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
Прочие  долгосрочные  финансовые  вложения,145,"0,0","30 749,0","30 749,0","49,41%","0,00%","85,71%"
Прочие  внеоборотные  активы,150,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
Итого  по  разделу  No 1,190,"26 353,0","62 228,0","35 875,0","-4,25%","136,13%","5,69%"
2. Оборотные  активы,,,,"0,00%100,00%",,,
"Запасы,  в  том  числе:",210,"16 630,0","29 274,0","12 644,0","-4,52%","76,03%","2,13%"
"Сырьё,  материалы  и  др. аналогичные  ценности(10, 12,  13,  15, 16)",211,"4 359,0","1 120,0","-3 239,0","-2,01%","-74,31%","-0,54%"
Животные  на  выращивании  и  откорме (11),212,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
"Затраты  в  незавершенном  строительстве (20, 21,23, 29, 30, 36, 44)",213,"1 978,0","0,0","-1 978,0","-0,97%","-100,00%","-0,33%"
"Готовая  продукция  и  товары  для  перепродажи(40, 41)",214,"10 175,0","23 253,0","13 078,0","-2,10%","128,53%","2,20%"
Товары  отгруженные  (45),215,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
Расходы  будущих  периодов (31),216,"118,0","4 901,0","4 783,0","0,56%","4053,39%","0,80%"
Прочие  затраты  и  запасы,217,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
"Налог  на  добавленную  стоимость  поприобретённым  ценностям (19)",220,"23 667,0","81 967,0","58 300,0","-1,38%","246,33%","9,80%"
"Дебиторская  задолженность,  платежи  покоторой  ожидаются  более  чем  через  12  мес.,в  том  числе:",230,"0,0","1 476,0","1 476,0","0,19%","0,00%","0,25%"
"Покупатели  и  заказчики (62,76,82)",231,"0,0","1 476,0","1 476,0","0,19%","0,00%","0,25%"
Векселя  к  получению (62),232,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
"Задолженность  дочерних и  зависимых  обществ(78)",233,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
Авансы  выданные (61),234,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
Прочие  дебиторы,235,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
"Дебиторская  задолженность,  платежи  покоторой  ожидаются  в  течение  12  мес.,  втом  числе:",240,"158 681,0","684 226,0","525 545,0","7,62%","331,20%","88,38%"
"Покупатели  и  заказчики (62,76,82)",241,"122 721,0","504 870,0","382 149,0","2,85%","311,40%","64,26%"
Векселя  к  получению (62),242,"30 284,0","143 000,0","112 716,0","3,01%","372,20%","18,96%"
"Задолженность  дочерних и  зависимых  обществ(78)",243,"0,0","0,0","0,0","0,00%","0,00%","0,00%"
